x y z
0.0 3.038 6.185
0.0 3.08041462 5.95878868
NaN NaN NaN
0.0 3.038 6.185
0.0 2.77146232 6.07348934
NaN NaN NaN
0.0 3.038 6.185
0.014641077 3.04550824 5.89067681
NaN NaN NaN
0.0 3.038 6.185
-0.014641077 3.04550824 5.89067681
NaN NaN NaN
0.0 3.08041462 5.95878868
0.014641077 3.04550824 5.89067681
NaN NaN NaN
0.0 3.08041462 5.95878868
-0.014641077 3.04550824 5.89067681
NaN NaN NaN
0.0 3.08041462 5.95878868
0.0 3.11862838 5.75498196
NaN NaN NaN
0.0 2.77146232 6.07348934
0.014641077 3.04550824 5.89067681
NaN NaN NaN
0.0 2.77146232 6.07348934
-0.014641077 3.04550824 5.89067681
NaN NaN NaN
0.0 2.77146232 6.07348934
-0.0180491388 2.79047833 5.71473865
NaN NaN NaN
0.0 2.77146232 6.07348934
0.0 2.45574259 5.94140251
NaN NaN NaN
0.0 2.77146232 6.07348934
0.0189250135 2.68562418 5.65307585
NaN NaN NaN
0.014641077 3.04550824 5.89067681
0.0 3.11862838 5.75498196
NaN NaN NaN
0.014641077 3.04550824 5.89067681
0.0271261023 3.05191082 5.63969579
NaN NaN NaN
0.014641077 3.04550824 5.89067681
0.0189250135 2.68562418 5.65307585
NaN NaN NaN
-0.014641077 3.04550824 5.89067681
0.0 3.11862838 5.75498196
NaN NaN NaN
-0.014641077 3.04550824 5.89067681
-0.0180491388 2.79047833 5.71473865
NaN NaN NaN
-0.014641077 3.04550824 5.89067681
-0.0271261023 3.05191082 5.63969579
NaN NaN NaN
0.0 3.11862838 5.75498196
0.0271261023 3.05191082 5.63969579
NaN NaN NaN
0.0 3.11862838 5.75498196
-0.0271261023 3.05191082 5.63969579
NaN NaN NaN
0.0 3.11862838 5.75498196
0.0 3.15263664 5.57360459
NaN NaN NaN
-0.0180491388 2.79047833 5.71473865
-0.0271261023 3.05191082 5.63969579
NaN NaN NaN
-0.0180491388 2.79047833 5.71473865
0.0 2.45574259 5.94140251
NaN NaN NaN
-0.0180491388 2.79047833 5.71473865
-0.0354944909 2.84479314 5.38302303
NaN NaN NaN
-0.0180491388 2.79047833 5.71473865
-0.0310331628 2.57345288 5.36014442
NaN NaN NaN
0.0271261023 3.05191082 5.63969579
0.0 3.15263664 5.57360459
NaN NaN NaN
0.0271261023 3.05191082 5.63969579
0.0189250135 2.68562418 5.65307585
NaN NaN NaN
0.0271261023 3.05191082 5.63969579
0.039 3.058 5.401
NaN NaN NaN
0.0271261023 3.05191082 5.63969579
0.0354944909 2.84479314 5.38302303
NaN NaN NaN
-0.0271261023 3.05191082 5.63969579
0.0 3.15263664 5.57360459
NaN NaN NaN
-0.0271261023 3.05191082 5.63969579
-0.039 3.058 5.401
NaN NaN NaN
-0.0271261023 3.05191082 5.63969579
-0.0354944909 2.84479314 5.38302303
NaN NaN NaN
0.0 3.15263664 5.57360459
0.039 3.058 5.401
NaN NaN NaN
0.0 3.15263664 5.57360459
-0.039 3.058 5.401
NaN NaN NaN
