x y z
0.105004558 0.469862693 -7.51860618
0.123638924 0.475454852 -7.53013652
NaN NaN NaN
0.105004558 0.469862693 -7.51860618
0.0963281185 0.487382907 -7.53647701
NaN NaN NaN
0.123638924 0.475454852 -7.53013652
0.0963281185 0.487382907 -7.53647701
NaN NaN NaN
0.123638924 0.475454852 -7.53013652
0.125801464 0.491285587 -7.54779585
NaN NaN NaN
0.123638924 0.475454852 -7.53013652
0.143512721 0.476691507 -7.54752129
NaN NaN NaN
0.0684934755 0.47242061 -7.53132398
0.0963281185 0.487382907 -7.53647701
NaN NaN NaN
0.0684934755 0.47242061 -7.53132398
0.0474849661 0.453474106 -7.53484664
NaN NaN NaN
0.0684934755 0.47242061 -7.53132398
0.0681935289 0.494314165 -7.55369059
NaN NaN NaN
0.0684934755 0.47242061 -7.53132398
0.0495847392 0.475410671 -7.55342557
NaN NaN NaN
0.0963281185 0.487382907 -7.53647701
0.125801464 0.491285587 -7.54779585
NaN NaN NaN
0.0963281185 0.487382907 -7.53647701
0.108034254 0.504730702 -7.55507899
NaN NaN NaN
0.0963281185 0.487382907 -7.53647701
0.0681935289 0.494314165 -7.55369059
NaN NaN NaN
0.0963281185 0.487382907 -7.53647701
0.0880223012 0.508563161 -7.55940753
NaN NaN NaN
0.0474849661 0.453474106 -7.53484664
0.0495847392 0.475410671 -7.55342557
NaN NaN NaN
0.0474849661 0.453474106 -7.53484664
0.0352355841 0.443646191 -7.55212641
NaN NaN NaN
0.0474849661 0.453474106 -7.53484664
0.0363773049 0.460470597 -7.56466013
NaN NaN NaN
0.125801464 0.491285587 -7.54779585
0.143512721 0.476691507 -7.54752129
NaN NaN NaN
0.125801464 0.491285587 -7.54779585
0.108034254 0.504730702 -7.55507899
NaN NaN NaN
0.125801464 0.491285587 -7.54779585
0.125853216 0.508270088 -7.56550099
NaN NaN NaN
0.125801464 0.491285587 -7.54779585
0.143520911 0.493674002 -7.56533238
NaN NaN NaN
0.143512721 0.476691507 -7.54752129
0.158857987 0.456055548 -7.55064615
NaN NaN NaN
0.143512721 0.476691507 -7.54752129
0.143520911 0.493674002 -7.56533238
NaN NaN NaN
0.143512721 0.476691507 -7.54752129
0.158749266 0.473281133 -7.56874831
NaN NaN NaN
0.108034254 0.504730702 -7.55507899
0.0880223012 0.508563161 -7.55940753
NaN NaN NaN
0.108034254 0.504730702 -7.55507899
0.125853216 0.508270088 -7.56550099
NaN NaN NaN
0.108034254 0.504730702 -7.55507899
0.105011681 0.521367675 -7.57180609
NaN NaN NaN
0.0681935289 0.494314165 -7.55369059
0.0495847392 0.475410671 -7.55342557
NaN NaN NaN
0.0681935289 0.494314165 -7.55369059
0.0880223012 0.508563161 -7.55940753
NaN NaN NaN
0.0681935289 0.494314165 -7.55369059
0.0661234711 0.511124878 -7.57216681
NaN NaN NaN
0.0681935289 0.494314165 -7.55369059
0.0494054226 0.492628168 -7.5707442
NaN NaN NaN
0.0495847392 0.475410671 -7.55342557
0.0363773049 0.460470597 -7.56466013
NaN NaN NaN
0.0495847392 0.475410671 -7.55342557
0.0494054226 0.492628168 -7.5707442
NaN NaN NaN
0.0495847392 0.475410671 -7.55342557
0.0361781522 0.474303598 -7.57842986
NaN NaN NaN
0.0880223012 0.508563161 -7.55940753
0.105011681 0.521367675 -7.57180609
NaN NaN NaN
0.0880223012 0.508563161 -7.55940753
0.0661234711 0.511124878 -7.57216681
NaN NaN NaN
0.0880223012 0.508563161 -7.55940753
0.0836810995 0.528238977 -7.580693
NaN NaN NaN
0.158857987 0.456055548 -7.55064615
0.167110929 0.436120747 -7.55630983
NaN NaN NaN
0.158857987 0.456055548 -7.55064615
0.158749266 0.473281133 -7.56874831
NaN NaN NaN
0.158857987 0.456055548 -7.55064615
0.166846906 0.453836896 -7.57484312
NaN NaN NaN
0.0352355841 0.443646191 -7.55212641
0.0363773049 0.460470597 -7.56466013
NaN NaN NaN
0.0352355841 0.443646191 -7.55212641
0.0306313696 0.44211106 -7.57178056
NaN NaN NaN
0.125853216 0.508270088 -7.56550099
0.143520911 0.493674002 -7.56533238
NaN NaN NaN
0.125853216 0.508270088 -7.56550099
0.105011681 0.521367675 -7.57180609
NaN NaN NaN
0.125853216 0.508270088 -7.56550099
0.125935175 0.525252722 -7.5832244
NaN NaN NaN
0.125853216 0.508270088 -7.56550099
0.143539035 0.510657495 -7.58315853
NaN NaN NaN
0.143520911 0.493674002 -7.56533238
0.158749266 0.473281133 -7.56874831
NaN NaN NaN
0.143520911 0.493674002 -7.56533238
0.143539035 0.510657495 -7.58315853
NaN NaN NaN
0.143520911 0.493674002 -7.56533238
0.158644115 0.490481376 -7.58683533
NaN NaN NaN
0.105011681 0.521367675 -7.57180609
0.0836810995 0.528238977 -7.580693
NaN NaN NaN
0.105011681 0.521367675 -7.57180609
0.125935175 0.525252722 -7.5832244
NaN NaN NaN
0.105011681 0.521367675 -7.57180609
0.105083603 0.538530129 -7.58954745
NaN NaN NaN
0.167110929 0.436120747 -7.55630983
0.166846906 0.453836896 -7.57484312
NaN NaN NaN
0.167110929 0.436120747 -7.55630983
0.169455453 0.428289053 -7.577802
NaN NaN NaN
0.0661234711 0.511124878 -7.57216681
0.0494054226 0.492628168 -7.5707442
NaN NaN NaN
0.0661234711 0.511124878 -7.57216681
0.0836810995 0.528238977 -7.580693
NaN NaN NaN
0.0661234711 0.511124878 -7.57216681
0.0457780352 0.503890861 -7.58726061
NaN NaN NaN
0.0661234711 0.511124878 -7.57216681
0.0678144433 0.536975007 -7.59714548
NaN NaN NaN
0.0661234711 0.511124878 -7.57216681
0.049106718 0.521216536 -7.599513
NaN NaN NaN
0.0363773049 0.460470597 -7.56466013
0.0306313696 0.44211106 -7.57178056
NaN NaN NaN
0.0363773049 0.460470597 -7.56466013
0.0361781522 0.474303598 -7.57842986
NaN NaN NaN
0.0363773049 0.460470597 -7.56466013
0.0303017372 0.455895981 -7.58609803
NaN NaN NaN
0.0494054226 0.492628168 -7.5707442
0.0361781522 0.474303598 -7.57842986
NaN NaN NaN
0.0494054226 0.492628168 -7.5707442
