gamma,etahf,tol,N,th2mat,tmvh2mat,storh2mat,farerrh2mat,errh2mat
1.0,4.0,0.001,23520,10.885003523,0.0144711643,1.0459318560000002,0.001475774080921717,0.0002545009477732435
1.0,4.0,0.001,48000,20.558614584,0.0284160945,2.2275873600000002,0.0013135315441213983,0.00026800712468218245
1.0,4.0,0.001,108000,57.082478113,0.0789606672,5.328666064,0.0026101874424148998,0.0006252724459966915
1.0,4.0,0.001,192000,112.020662197,0.1220377014,10.143735840000002,0.014444406129370441,0.003907179242502048
1.0,4.0,0.001,432000,295.230834889,0.3413909637,24.474935600000002,0.010583705996314592,0.0033146930810895657
2.0,4.0,0.001,23520,10.812229603,0.020697500599999998,1.1039231520000001,0.0015783010177426765,0.00025950163437624596
2.0,4.0,0.001,48000,20.431547423,0.0205041151,2.403197504,0.0013353537886244776,0.0002573708686563481
2.0,4.0,0.001,108000,48.181036078,0.060651786299999996,5.718611968,0.002248741979112052,0.0005170397673630616
2.0,4.0,0.001,192000,87.956048962,0.1143521596,10.289094064,0.0035794573766051658,0.0009306630342116516
2.0,4.0,0.001,432000,222.552874037,0.30477375079999997,24.660981120000002,0.008107117557876539,0.002510365560701733
