k,gamma,etahf,tol,N,asstime,tmvmat
1.628773208812592,1.0,2.0,0.001,35766,200.750423065,0.19375093
1.628773208812592,1.0,2.0,0.001,35766,200.349565436,0.208710668
2.0719615657982504,1.0,2.0,0.001,58998,430.565698187,0.421700076
2.0719615657982504,1.0,2.0,0.001,58998,424.092511115,0.410211118
2.8762513092937345,1.0,2.0,0.001,117462,1147.830346611,1.040601683
2.8762513092937345,1.0,2.0,0.001,117462,1203.596762234,1.043755044
3.5729869942827714,1.0,2.0,0.001,229881,2942.663393647,2.423807688
3.5729869942827714,1.0,2.0,0.001,229881,2864.145580489,2.415003261
4.810523962786024,1.0,2.0,0.001,468252,7735.778181734,7.001832676
6.2128087539826415,1.0,2.0,0.001,912699,19434.666619612,16.495899307
8.215778090646598,1.0,2.0,0.001,1854723,51549.688705534,38.202984019
