k,gamma,etahf,tol,N,asstime,tmvmat
1.628773208812592,1.0,2.0,0.001,35766,169.664847527,0.204898949
1.628773208812592,1.0,2.0,0.001,35766,173.734159098,0.213808476
1.628773208812592,1.0,2.0,0.001,35766,171.241394224,0.202302302
1.628773208812592,1.0,2.0,0.001,35766,178.592810726,0.198744639
1.628773208812592,1.0,2.0,0.001,35766,184.629965337,0.194189671
2.0719615657982504,1.0,2.0,0.001,58998,351.149215132,0.410742308
2.0719615657982504,1.0,2.0,0.001,58998,354.768576837,0.4139635
2.0719615657982504,1.0,2.0,0.001,58998,367.530945471,0.430440977
2.0719615657982504,1.0,2.0,0.001,58998,397.69701285,0.403233254
2.0719615657982504,1.0,2.0,0.001,58998,386.790515692,0.407117076
2.8762513092937345,1.0,2.0,0.001,117462,992.188486768,1.137037694
2.8762513092937345,1.0,2.0,0.001,117462,1016.145799347,1.145235912
2.8762513092937345,1.0,2.0,0.001,117462,967.490132569,1.283516731
2.8762513092937345,1.0,2.0,0.001,117462,926.212916703,1.155993103
2.8762513092937345,1.0,2.0,0.001,117462,925.214753867,1.125969848
3.5729869942827714,1.0,2.0,0.001,229881,1930.360928273,2.208364936
3.5729869942827714,1.0,2.0,0.001,229881,1940.629339491,2.29082666
3.5729869942827714,1.0,2.0,0.001,229881,1982.820805997,2.318885541
3.5729869942827714,1.0,2.0,0.001,229881,2180.801412039,2.181122476
3.5729869942827714,1.0,2.0,0.001,229881,2146.474267885,2.161617048
4.810523962786024,1.0,2.0,0.001,468252,4838.438792632,4.613698009
4.810523962786024,1.0,2.0,0.001,468252,4868.682331206,4.830983625
4.810523962786024,1.0,2.0,0.001,468252,5050.490988677,5.309151002
4.810523962786024,1.0,2.0,0.001,468252,4457.427507425,5.037850093
4.810523962786024,1.0,2.0,0.001,468252,4433.50133201,4.982498529
6.2128087539826415,1.0,2.0,0.001,912699,8516.993900199,9.801287317
6.2128087539826415,1.0,2.0,0.001,912699,8569.939879961,9.828821136
6.2128087539826415,1.0,2.0,0.001,912699,9399.568350988,8.84475056
6.2128087539826415,1.0,2.0,0.001,912699,9439.973795014,9.257632138
8.215778090646598,1.0,2.0,0.001,1854723,20217.370267725,19.869989775
8.215778090646598,1.0,2.0,0.001,1854723,20221.765768615,19.703102368
8.215778090646598,1.0,2.0,0.001,1854723,18605.17002722,20.993661678
8.215778090646598,1.0,2.0,0.001,1854723,19076.751235746,21.382267799
