k,gamma,etahf,tol,N,asstime,tmvmat
1.628773208812592,1.0,2.0,0.001,35766,131.642607257,0.128170073
1.628773208812592,1.0,2.0,0.001,35766,130.049066203,0.126044448
1.628773208812592,1.0,2.0,0.001,35766,140.792450609,0.123612417
1.628773208812592,1.0,2.0,0.001,35766,141.358436817,0.133279756
2.0719615657982504,1.0,2.0,0.001,58998,272.196153858,0.245304794
2.0719615657982504,1.0,2.0,0.001,58998,266.991717472,0.240744258
2.0719615657982504,1.0,2.0,0.001,58998,243.398728908,0.247719593
2.0719615657982504,1.0,2.0,0.001,58998,242.374812687,0.244995902
2.8762513092937345,1.0,2.0,0.001,117462,524.751177459,0.498971466
2.8762513092937345,1.0,2.0,0.001,117462,530.379039032,0.497625167
2.8762513092937345,1.0,2.0,0.001,117462,525.963586418,0.507319429
2.8762513092937345,1.0,2.0,0.001,117462,581.832830808,0.479334849
2.8762513092937345,1.0,2.0,0.001,117462,600.470695009,0.508016225
3.5729869942827714,1.0,2.0,0.001,229881,1196.344769446,0.949000114
3.5729869942827714,1.0,2.0,0.001,229881,1159.25474566,0.967858114
3.5729869942827714,1.0,2.0,0.001,229881,1074.674130279,0.947772873
3.5729869942827714,1.0,2.0,0.001,229881,1137.148111933,1.140719067
3.5729869942827714,1.0,2.0,0.001,229881,1069.271669289,1.016097067
4.810523962786024,1.0,2.0,0.001,468252,2309.798214021,2.014002901
4.810523962786024,1.0,2.0,0.001,468252,2334.436045562,2.034741174
4.810523962786024,1.0,2.0,0.001,468252,2289.311926585,2.205305265
4.810523962786024,1.0,2.0,0.001,468252,2425.971308893,2.071511056
4.810523962786024,1.0,2.0,0.001,468252,2479.918891645,2.075654739
6.2128087539826415,1.0,2.0,0.001,912699,4878.303225098,4.034602318
6.2128087539826415,1.0,2.0,0.001,912699,4894.797741117,3.900435252
6.2128087539826415,1.0,2.0,0.001,912699,4714.390890236,4.052016062
6.2128087539826415,1.0,2.0,0.001,912699,4922.531444699,4.034061377
6.2128087539826415,1.0,2.0,0.001,912699,4595.388062971,4.169908517
8.215778090646598,1.0,2.0,0.001,1854723,9351.981698939,7.841896693
8.215778090646598,1.0,2.0,0.001,1854723,10814.728357642,7.74132615
8.215778090646598,1.0,2.0,0.001,1854723,9688.403160266,8.421895094
8.215778090646598,1.0,2.0,0.001,1854723,9631.024222496,7.527909904
