tree,etahf,N,tol,err,storage
kmeans,1.0,72270,0.01,0.006459685650307587,27.454327904000003
kmeans,1.0,72270,0.001,0.0013877307117997227,28.005346944000003
kmeans,1.0,72270,0.0001,0.0001132387555535088,28.780322496
kmeans,1.0,72270,1.0e-5,1.2773156830717745e-5,29.898778080000003
kmeans,1.0,72270,1.0e-6,2.5338552947730495e-6,31.420630608000003
kmeans,1.0,72270,1.0e-7,6.863713209398103e-7,33.518268944
kmeans,1.0,72270,1.0e-8,1.7566855687708077e-7,36.522384880000004
kmeans,1.0,72270,1.0e-9,1.4880434300398898e-7,40.760360848000005
kmeans,1.0,72270,1.0e-10,2.8451770712866115e-9,46.678574352000005
kmeans,5.0,72270,0.01,0.008378256519264334,4.704941344
kmeans,5.0,72270,0.001,0.0011813269827405071,5.244097088
kmeans,5.0,72270,0.0001,0.00034454898144704166,5.98234728
kmeans,5.0,72270,1.0e-5,5.6623085668585917e-5,6.972531104000001
kmeans,5.0,72270,1.0e-6,1.751325541044531e-5,8.279385136
kmeans,5.0,72270,1.0e-7,4.254331284920431e-6,10.112116576
kmeans,5.0,72270,1.0e-8,9.520448423917906e-7,12.764863488000001
kmeans,5.0,72270,1.0e-9,1.7092407958272947e-7,16.572996528
kmeans,5.0,72270,1.0e-10,5.232336387312443e-8,21.823482608000003
octree,1.0,72270,0.01,0.008224362580082183,77.54563312
octree,1.0,72270,0.001,0.002319022363327305,77.70909318400001
octree,1.0,72270,0.0001,0.00022118236471994156,77.94025692800001
octree,1.0,72270,1.0e-5,5.091590470831847e-5,78.250925248
octree,1.0,72270,1.0e-6,1.4622137896778857e-5,78.631415136
octree,1.0,72270,1.0e-7,3.932333701678168e-6,79.14002864000001
octree,1.0,72270,1.0e-8,7.682379846861558e-7,79.799515072
octree,1.0,72270,1.0e-9,1.617850931341518e-7,80.625073248
octree,1.0,72270,1.0e-10,3.44681720965843e-8,81.614162608
octree,5.0,72270,0.01,0.024294845526900682,20.948714928
octree,5.0,72270,0.001,0.009873301936482221,21.356160592000002
octree,5.0,72270,0.0001,0.004782125295319934,21.835233952000003
octree,5.0,72270,1.0e-5,0.0017996979579740719,22.400768832
octree,5.0,72270,1.0e-6,0.000936732302342326,23.156320688
octree,5.0,72270,1.0e-7,0.00022244304687033702,24.363853248
octree,5.0,72270,1.0e-8,2.821336257183909e-5,26.132805840000003
octree,5.0,72270,1.0e-9,3.068572757637477e-6,28.536450432000002
octree,5.0,72270,1.0e-10,6.243765155825076e-7,31.662184272
