k,gamma,etahf,tol,N,asstime,tmvmat
13.300995196348865,1.0,5.0,0.001,23520,112.304899093,0.125192366
13.300995196348865,1.0,5.0,0.001,23520,108.948490523,0.124819302
18.99781727007825,1.0,5.0,0.001,48000,302.395014426,0.330175216
18.99781727007825,1.0,5.0,0.001,48000,302.196843195,0.332225565
27.07242254304166,1.0,5.0,0.001,97470,868.321987545,0.926663136
27.07242254304166,1.0,5.0,0.001,97470,875.057233823,0.952729582
37.99043905949329,1.0,5.0,0.001,192000,2309.392523434,2.338607069
37.99043905949329,1.0,5.0,0.001,192000,2322.701674684,2.139003103
54.1366422568458,1.0,5.0,0.001,389880,6614.817171919,6.237802289
54.1366422568458,1.0,5.0,0.001,389880,6610.175561375,6.258918405
75.97828015660946,1.0,5.0,0.001,768000,17834.848118485,18.497937872
75.97828015660946,1.0,5.0,0.001,768000,17722.728004763,14.554400812
