k,gamma,etahf,tol,N,asstime,tmvmat
13.300995196348865,1.0,5.0,0.001,23520,122.054112002,0.124728302
13.300995196348865,1.0,5.0,0.001,23520,123.366881928,0.125813308
13.300995196348865,1.0,5.0,0.001,23520,122.601737317,0.127617531
13.300995196348865,1.0,5.0,0.001,23520,119.908620347,0.123039557
13.300995196348865,1.0,5.0,0.001,23520,118.641652421,0.123341905
18.99781727007825,1.0,5.0,0.001,48000,413.747286463,0.540670051
18.99781727007825,1.0,5.0,0.001,48000,411.963956068,0.514429404
18.99781727007825,1.0,5.0,0.001,48000,460.625467333,0.550652183
18.99781727007825,1.0,5.0,0.001,48000,506.883107143,0.576848467
18.99781727007825,1.0,5.0,0.001,48000,457.582007245,0.553972077
27.07242254304166,1.0,5.0,0.001,97470,1018.573102116,1.117469813
27.07242254304166,1.0,5.0,0.001,97470,1006.362439302,1.118246253
27.07242254304166,1.0,5.0,0.001,97470,1067.015808259,1.083585809
18.99781727007825,1.0,5.0,0.001,97470,957.570729339,1.073173505
18.99781727007825,1.0,5.0,0.001,97470,966.801188242,1.031949955
37.99043905949329,1.0,5.0,0.001,192000,2438.955700217,3.123107664
37.99043905949329,1.0,5.0,0.001,192000,2478.734311012,3.014720426
37.99043905949329,1.0,5.0,0.001,192000,3269.463188838,3.240239973
37.99043905949329,1.0,5.0,0.001,192000,2865.506869923,3.317084361
37.99043905949329,1.0,5.0,0.001,192000,2854.20249838,3.113285132
54.1366422568458,1.0,5.0,0.001,389880,6257.788171544,6.486922217
54.1366422568458,1.0,5.0,0.001,389880,5651.21631704,6.255245876
54.1366422568458,1.0,5.0,0.001,389880,5648.785917003,6.100237652
75.97828015660946,1.0,5.0,0.001,768000,17913.780106031,26.482750638
75.97828015660946,1.0,5.0,0.001,768000,17614.225209161,24.91412141
