k,gamma,etahf,tol,N,asstime,tmvmat
13.300995196348865,1.0,5.0,0.001,23520,128.713227494,0.108562773
13.300995196348865,1.0,5.0,0.001,23520,128.96536699,0.10945505
13.300995196348865,1.0,5.0,0.001,23520,133.977576778,0.114523223
13.300995196348865,1.0,5.0,0.001,23520,137.670295034,0.107021999
13.300995196348865,1.0,5.0,0.001,23520,142.224479359,0.110984299
13.300995196348865,1.0,5.0,0.001,23520,128.56969467,0.112918389
13.300995196348865,1.0,5.0,0.001,23520,125.673564416,0.11302158
18.99781727007825,1.0,5.0,0.001,48000,318.111740985,0.282773275
18.99781727007825,1.0,5.0,0.001,48000,317.582957448,0.287196857
18.99781727007825,1.0,5.0,0.001,48000,365.401416746,0.283123874
18.99781727007825,1.0,5.0,0.001,48000,438.253438217,0.277817841
18.99781727007825,1.0,5.0,0.001,48000,343.901250241,0.276776873
18.99781727007825,1.0,5.0,0.001,48000,335.752899049,0.28973463
18.99781727007825,1.0,5.0,0.001,48000,418.168384,0.307088151
27.07242254304166,1.0,5.0,0.001,97470,890.505855348,0.706203188
27.07242254304166,1.0,5.0,0.001,97470,905.966127373,0.708285658
27.07242254304166,1.0,5.0,0.001,97470,868.301456203,0.707496454
27.07242254304166,1.0,5.0,0.001,97470,937.008621186,0.672855119
27.07242254304166,1.0,5.0,0.001,97470,901.813629757,0.698936246
27.07242254304166,1.0,5.0,0.001,97470,770.871905645,0.687660492
27.07242254304166,1.0,5.0,0.001,97470,773.226687376,0.712780052
37.99043905949329,1.0,5.0,0.001,192000,1768.627134055,1.645885028
37.99043905949329,1.0,5.0,0.001,192000,1786.552328995,1.618685156
54.1366422568458,1.0,5.0,0.001,389880,7063.940642658,4.009767915
54.1366422568458,1.0,5.0,0.001,389880,5140.45440303,3.868035614
54.1366422568458,1.0,5.0,0.001,389880,4185.387022623,3.735677745
54.1366422568458,1.0,5.0,0.001,389880,4127.928735097,3.302737394
75.97828015660946,1.0,5.0,0.001,768000,9279.413234156,8.43567913
75.97828015660946,1.0,5.0,0.001,768000,9200.821486288,7.376574288
75.97828015660946,1.0,5.0,0.001,768000,18750.278240401,8.699036241
75.97828015660946,1.0,5.0,0.001,768000,11794.765467765,8.795579704
13.300995196348865,1.0,5.0,0.001,23520,137.835060215,0.109373922
13.300995196348865,1.0,5.0,0.001,23520,143.497959123,0.111689607
18.99781727007825,1.0,5.0,0.001,48000,370.840187252,0.271039005
18.99781727007825,1.0,5.0,0.001,48000,448.999005959,0.276812451
27.07242254304166,1.0,5.0,0.001,97470,959.676092375,0.635414535
27.07242254304166,1.0,5.0,0.001,97470,905.620352869,0.663077839
37.99043905949329,1.0,5.0,0.001,192000,3734.142383802,1.461817331
37.99043905949329,1.0,5.0,0.001,192000,7599.515581397,1.40993217
54.1366422568458,1.0,5.0,0.001,389880,7618.278459437,3.550677783
54.1366422568458,1.0,5.0,0.001,389880,5365.962417878,3.542391929
75.97828015660946,1.0,5.0,0.001,768000,19142.281770213,7.808688575
75.97828015660946,1.0,5.0,0.001,768000,13428.123751232,9.214440525
37.99043905949329,1.0,5.0,0.001,192000,2125.046350601,1.581869061
37.99043905949329,1.0,5.0,0.001,192000,4378.487230137,1.545470816
54.1366422568458,1.0,5.0,0.001,389880,9012.855942667,3.629542906
54.1366422568458,1.0,5.0,0.001,389880,20852.805040202,3.710387068
54.1366422568458,1.0,5.0,0.001,389880,5749.326717892,3.660574443
